innings,team,phase,runs,wickets,balls,run_rate,boundaries,dots
1,Mumbai Indians,death,70,0,30,14.0,11,4
1,Mumbai Indians,middle,45,3,54,5.0,2,21
1,Mumbai Indians,powerplay,57,1,36,9.5,10,13
2,Deccan Chargers,death,35,2,30,7.0,4,11
2,Deccan Chargers,middle,59,4,54,6.56,5,20
2,Deccan Chargers,powerplay,41,2,36,6.83,6,16
