match_number,date,opponent,venue,result,margin
2,2016-04-10,Delhi Daredevils,Eden Gardens,won,by 9 wickets
5,2016-04-13,Mumbai Indians,Eden Gardens,lost,by 6 wickets
8,2016-04-16,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",won,by 8 wickets
13,2016-04-19,Kings XI Punjab,"Punjab Cricket Association IS Bindra Stadium, Mohali",won,by 6 wickets
20,2016-04-24,Rising Pune Supergiants,Maharashtra Cricket Association Stadium,won,by 2 wickets
24,2016-04-28,Mumbai Indians,Wankhede Stadium,lost,by 6 wickets
26,2016-04-30,Delhi Daredevils,Feroz Shah Kotla,lost,by 27 runs
30,2016-05-02,Royal Challengers Bangalore,M Chinnaswamy Stadium,won,by 5 wickets
32,2016-05-04,Kings XI Punjab,Eden Gardens,won,by 7 runs
38,2016-05-08,Gujarat Lions,Eden Gardens,lost,by 5 wickets
45,2016-05-14,Rising Pune Supergiants,Eden Gardens,won,by 8 wickets
48,2016-05-16,Royal Challengers Bangalore,Eden Gardens,lost,by 9 wickets
51,2016-05-19,Gujarat Lions,Green Park,lost,by 6 wickets
55,2016-05-22,Sunrisers Hyderabad,Eden Gardens,won,by 22 runs
58,2016-05-25,Sunrisers Hyderabad,Feroz Shah Kotla,lost,by 22 runs
