match_number,opponent,batter,runs,balls,fours,sixes,strike_rate,dismissal
2,Delhi Daredevils,RV Uthappa,35,33,7,0,106.06,c CH Morris b A Mishra
2,Delhi Daredevils,G Gambhir,38,41,5,0,92.68,not out
2,Delhi Daredevils,MK Pandey,15,12,3,0,125.0,not out
5,Mumbai Indians,RV Uthappa,8,10,1,0,80.0,c KA Pollard b MJ McClenaghan
5,Mumbai Indians,G Gambhir,64,52,4,1,123.08,c PA Patel b HH Pandya
5,Mumbai Indians,MK Pandey,52,29,3,3,179.31,c & b Harbhajan Singh
5,Mumbai Indians,AD Russell,36,17,1,4,211.76,b MJ McClenaghan
5,Mumbai Indians,YK Pathan,9,6,1,0,150.0,not out
5,Mumbai Indians,C Munro,4,5,0,0,80.0,"run out (TG Southee, PA Patel)"
5,Mumbai Indians,SA Yadav,4,1,1,0,400.0,not out
8,Sunrisers Hyderabad,RV Uthappa,38,34,3,1,111.76,lbw b A Ashish Reddy
8,Sunrisers Hyderabad,G Gambhir,90,60,13,1,150.0,not out
8,Sunrisers Hyderabad,AD Russell,2,5,0,0,40.0,b Mustafizur Rahman
8,Sunrisers Hyderabad,MK Pandey,11,11,0,0,100.0,not out
13,Kings XI Punjab,RV Uthappa,53,28,9,0,189.29,lbw b P Sahu
13,Kings XI Punjab,G Gambhir,34,34,3,0,100.0,c GJ Maxwell b P Sahu
13,Kings XI Punjab,MK Pandey,12,11,1,0,109.09,b AR Patel
13,Kings XI Punjab,Shakib Al Hasan,11,15,1,0,73.33,c Sandeep Sharma b AR Patel
13,Kings XI Punjab,SA Yadav,11,9,2,0,122.22,not out
13,Kings XI Punjab,YK Pathan,12,6,2,0,200.0,not out
20,Rising Pune Supergiants,RV Uthappa,0,1,0,0,0.0,lbw b JA Morkel
20,Rising Pune Supergiants,G Gambhir,11,5,2,0,220.0,"run out (SS Tiwary, MS Dhoni)"
20,Rising Pune Supergiants,SA Yadav,60,49,6,2,122.45,lbw b M Ashwin
20,Rising Pune Supergiants,Shakib Al Hasan,3,9,0,0,33.33,b R Bhatia
20,Rising Pune Supergiants,YK Pathan,36,27,2,2,133.33,lbw b R Bhatia
20,Rising Pune Supergiants,AD Russell,17,11,0,2,154.55,c F du Plessis b NLTC Perera
20,Rising Pune Supergiants,R Sathish,10,8,0,1,125.0,b JA Morkel
20,Rising Pune Supergiants,PP Chawla,8,5,1,0,160.0,c SPD Smith b NLTC Perera
20,Rising Pune Supergiants,UT Yadav,7,2,0,1,350.0,not out
24,Mumbai Indians,RV Uthappa,36,20,1,2,180.0,c KA Pollard b Harbhajan Singh
24,Mumbai Indians,G Gambhir,59,45,6,1,131.11,c KA Pollard b MJ McClenaghan
24,Mumbai Indians,Shakib Al Hasan,6,4,1,0,150.0,c PA Patel b HH Pandya
24,Mumbai Indians,SA Yadav,21,17,2,0,123.53,c & b TG Southee
24,Mumbai Indians,AD Russell,22,16,3,0,137.5,b TG Southee
24,Mumbai Indians,CA Lynn,10,10,0,0,100.0,not out
24,Mumbai Indians,YK Pathan,19,8,4,0,237.5,not out
26,Delhi Daredevils,RV Uthappa,72,52,6,2,138.46,c KK Nair b CH Morris
