match_number,date,opponent,venue,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
7,2017-04-09,Mumbai Indians,Wankhede Stadium,81,47,5,5,172.34,not out,4
11,2017-04-13,Kings XI Punjab,Eden Gardens,25,16,2,1,156.25,not out,4
14,2017-04-15,Sunrisers Hyderabad,Eden Gardens,46,35,3,2,131.43,c DA Warner b B Kumar,4
18,2017-04-17,Delhi Daredevils,Feroz Shah Kotla,69,49,4,3,140.82,not out,4
23,2017-04-21,Gujarat Lions,Eden Gardens,24,21,2,0,114.29,b Basil Thampi,4
27,2017-04-23,Royal Challengers Bangalore,Eden Gardens,15,16,1,0,93.75,c S Badree b YS Chahal,4
32,2017-04-28,Delhi Daredevils,Eden Gardens,5,4,1,0,125.0,b K Rabada,4
37,2017-04-30,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",39,29,3,0,134.48,c & b B Kumar,4
41,2017-05-03,Rising Pune Supergiant,Eden Gardens,37,32,4,1,115.62,c AM Rahane b DT Christian,4
46,2017-05-07,Royal Challengers Bangalore,M Chinnaswamy Stadium,4,3,0,0,133.33,not out,5
49,2017-05-09,Kings XI Punjab,"Punjab Cricket Association IS Bindra Stadium, Mohali",18,23,1,0,78.26,c AR Patel b MJ Henry,5
54,2017-05-13,Mumbai Indians,Eden Gardens,33,33,2,0,100.0,c J Suchith b HH Pandya,5
