match_number,date,opponent,venue,result,margin
3,2009-04-19,Delhi Daredevils,Newlands,lost,by 10 wickets
6,2009-04-21,Kolkata Knight Riders,Kingsmead,lost,by 11 runs
11,2009-04-24,Royal Challengers Bangalore,Kingsmead,won,by 7 wickets
15,2009-04-26,Rajasthan Royals,Newlands,won,by 27 runs
20,2009-04-29,Mumbai Indians,Kingsmead,won,by 3 runs
24,2009-05-01,Royal Challengers Bangalore,Kingsmead,lost,by 8 runs
27,2009-05-03,Kolkata Knight Riders,St George's Park,won,by 6 wickets
30,2009-05-05,Rajasthan Royals,Kingsmead,lost,by 78 runs
34,2009-05-07,Chennai Super Kings,SuperSport Park,lost,by 12 runs
36,2009-05-09,Deccan Chargers,De Beers Diamond Oval,won,by 3 wickets
42,2009-05-12,Mumbai Indians,SuperSport Park,lost,by 8 wickets
46,2009-05-15,Delhi Daredevils,OUTsurance Oval,won,by 6 wickets
49,2009-05-17,Deccan Chargers,New Wanderers Stadium,won,by 1 runs
54,2009-05-20,Chennai Super Kings,Kingsmead,lost,by 24 runs
