innings,over,ball,team,batter,bowler,umpire,type,decision,umpires_call
1,13,1,Sunrisers Hyderabad,RA Tripathi,S Kaul,VA Kulkarni,,struck down,False
2,11,3,Rajasthan Royals,S Dhawan,S Gopal,VA Kulkarni,,struck down,False
