match_number,date,opponent,catches,stumpings,run_outs
23,2015-04-25,Sunrisers Hyderabad,1,0,0
43,2015-05-08,Chennai Super Kings,3,0,0
51,2015-05-14,Kolkata Knight Riders,1,0,0
56,2015-05-17,Sunrisers Hyderabad,1,0,1
60,2015-05-24,Chennai Super Kings,1,0,0
