innings,team,phase,runs,wickets,balls,run_rate,boundaries,dots
1,Kolkata Knight Riders,death,56,3,30,11.2,7,7
1,Kolkata Knight Riders,middle,81,3,54,9.0,9,16
1,Kolkata Knight Riders,powerplay,41,1,36,6.83,8,19
2,Delhi Capitals,death,71,1,40,10.65,9,7
2,Delhi Capitals,middle,52,0,39,8.0,5,8
2,Delhi Capitals,powerplay,57,2,34,10.06,10,15
