innings,team,wicket_number,batter_1,batter_1_runs,batter_1_balls,batter_2,batter_2_runs,batter_2_balls,extras,total_runs,total_balls
1,Royal Challengers Bengaluru,1,JG Bethell,5,5,V Kohli,28,11,1,34,16
1,Royal Challengers Bengaluru,2,D Padikkal,0,2,V Kohli,0,2,1,1,4
1,Royal Challengers Bengaluru,3,RM Patidar,19,15,D Padikkal,25,11,0,44,26
1,Royal Challengers Bengaluru,4,JM Sharma,1,3,D Padikkal,0,0,0,1,3
1,Royal Challengers Bengaluru,5,TH David,9,6,D Padikkal,2,3,0,11,9
1,Royal Challengers Bengaluru,6,KH Pandya,4,4,D Padikkal,1,1,0,5,5
1,Royal Challengers Bengaluru,7,R Shepherd,17,14,D Padikkal,12,7,1,30,21
1,Royal Challengers Bengaluru,8,R Shepherd,0,1,VR Iyer,0,0,0,0,1
1,Royal Challengers Bengaluru,9,B Kumar,15,15,VR Iyer,12,15,2,29,30
1,Royal Challengers Bengaluru,10,JR Hazlewood,0,1,B Kumar,0,0,0,0,1
2,Gujarat Titans,1,B Sai Sudharsan,6,5,Shubman Gill,36,13,0,42,18
2,Gujarat Titans,2,Shubman Gill,7,5,JC Buttler,8,7,0,15,12
2,Gujarat Titans,3,JC Buttler,31,12,Washington Sundar,3,3,1,35,15
2,Gujarat Titans,4,M Shahrukh Khan,8,8,Washington Sundar,9,8,0,17,16
2,Gujarat Titans,5,R Tewatia,1,1,Washington Sundar,0,1,1,2,2
2,Gujarat Titans,6,JO Holder,12,10,R Tewatia,17,10,1,30,20
2,Gujarat Titans,7,Rashid Khan,7,6,R Tewatia,9,6,1,17,12
