match_number,date,opponent,venue,result,margin
1,2008-04-18,Royal Challengers Bangalore,M Chinnaswamy Stadium,won,by 140 runs
4,2008-04-20,Deccan Chargers,Eden Gardens,won,by 5 wickets
11,2008-04-26,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",lost,by 9 wickets
16,2008-04-29,Mumbai Indians,Eden Gardens,lost,by 7 wickets
18,2008-05-01,Rajasthan Royals,Sawai Mansingh Stadium,lost,by 45 runs
22,2008-05-03,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",lost,by 9 runs
29,2008-05-08,Royal Challengers Bangalore,Eden Gardens,won,by 5 runs
32,2008-05-11,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal",won,by 23 runs
35,2008-05-13,Delhi Daredevils,Eden Gardens,won,by 23 runs
38,2008-05-16,Mumbai Indians,Wankhede Stadium,lost,by 8 wickets
41,2008-05-18,Chennai Super Kings,Eden Gardens,lost,by 3 runs
44,2008-05-20,Rajasthan Royals,Eden Gardens,lost,by 6 wickets
52,2008-05-25,Kings XI Punjab,Eden Gardens,won,by 3 wickets
