team,ball,batter,bowler,non_striker,batter_runs,extra_runs,total_runs,extra_type,is_wicket,wicket_kind,player_out
Kolkata Knight Riders,1,CH Gayle,Kamran Khan,BB McCullum,1,0,1,,False,,
Kolkata Knight Riders,2,BB McCullum,Kamran Khan,CH Gayle,1,0,1,,False,,
Kolkata Knight Riders,2,CH Gayle,Kamran Khan,BB McCullum,0,1,1,wides,False,,
Kolkata Knight Riders,3,CH Gayle,Kamran Khan,BB McCullum,4,0,4,,False,,
Kolkata Knight Riders,4,CH Gayle,Kamran Khan,BB McCullum,4,0,4,,False,,
Kolkata Knight Riders,5,CH Gayle,Kamran Khan,BB McCullum,4,0,4,,False,,
Kolkata Knight Riders,6,CH Gayle,Kamran Khan,BB McCullum,0,0,0,,True,caught,CH Gayle
Rajasthan Royals,1,YK Pathan,BAW Mendis,AD Mascarenhas,6,0,6,,False,,
Rajasthan Royals,2,YK Pathan,BAW Mendis,AD Mascarenhas,2,0,2,,False,,
Rajasthan Royals,3,YK Pathan,BAW Mendis,AD Mascarenhas,6,0,6,,False,,
Rajasthan Royals,4,YK Pathan,BAW Mendis,AD Mascarenhas,4,0,4,,False,,
