innings,team,wicket_number,player_out,score,over
1,Kolkata Knight Riders,1,Q de Kock,4,1.5
1,Kolkata Knight Riders,2,SP Narine,107,10.6
1,Kolkata Knight Riders,3,AM Rahane,109,11.3
1,Kolkata Knight Riders,4,VR Iyer,125,13.1
1,Kolkata Knight Riders,5,RK Singh,145,15.6
1,Kolkata Knight Riders,6,AD Russell,150,16.4
1,Kolkata Knight Riders,7,A Raghuvanshi,168,19.5
1,Kolkata Knight Riders,8,Harshit Rana,173,20.5
2,Royal Challengers Bengaluru,1,PD Salt,95,9.3
2,Royal Challengers Bengaluru,2,D Padikkal,118,12.4
2,Royal Challengers Bengaluru,3,RM Patidar,162,16.3
