innings,over,ball,team,player_in,player_out,reason
1,17,1,Royal Challengers Bengaluru,D Padikkal,Suyash Sharma,impact_player
2,1,1,Kolkata Knight Riders,VG Arora,A Raghuvanshi,impact_player
