match_number,date,opponent,venue,result,margin
1,2014-04-16,Mumbai Indians,Sheikh Zayed Stadium,won,by 41 runs
6,2014-04-19,Delhi Daredevils,Dubai International Cricket Stadium,lost,by 4 wickets
11,2014-04-24,Royal Challengers Bangalore,Sharjah Cricket Stadium,won,by 2 runs
15,2014-04-26,Kings XI Punjab,Sheikh Zayed Stadium,lost,by 23 runs
19,2014-04-29,Rajasthan Royals,Sheikh Zayed Stadium,no result,
21,2014-05-02,Chennai Super Kings,JSCA International Stadium Complex,lost,by 34 runs
25,2014-05-05,Rajasthan Royals,"Sardar Patel Stadium, Motera",lost,by 10 runs
28,2014-05-07,Delhi Daredevils,Feroz Shah Kotla,won,by 8 wickets
34,2014-05-11,Kings XI Punjab,Barabati Stadium,won,by 9 wickets
40,2014-05-14,Mumbai Indians,Barabati Stadium,won,by 6 wickets
43,2014-05-18,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",won,by 7 wickets
47,2014-05-20,Chennai Super Kings,Eden Gardens,won,by 8 wickets
49,2014-05-22,Royal Challengers Bangalore,Eden Gardens,won,by 30 runs
54,2014-05-24,Sunrisers Hyderabad,Eden Gardens,won,by 4 wickets
57,2014-05-27,Kings XI Punjab,Eden Gardens,won,by 28 runs
60,2014-06-01,Kings XI Punjab,M Chinnaswamy Stadium,won,by 3 wickets
