innings,team,phase,runs,wickets,balls,run_rate,boundaries,dots
1,Deccan Chargers,death,56,2,30,11.2,7,8
1,Deccan Chargers,middle,68,2,54,7.56,9,19
1,Deccan Chargers,powerplay,47,2,36,7.83,8,19
2,Delhi Daredevils,death,45,5,30,9.0,6,9
2,Delhi Daredevils,middle,68,3,54,7.56,5,12
2,Delhi Daredevils,powerplay,48,1,36,8.0,8,17
