match_number,date,opponent,venue,result,margin
4,2024-03-24,Lucknow Super Giants,"Sawai Mansingh Stadium, Jaipur",won,by 20 runs
9,2024-03-28,Delhi Capitals,"Sawai Mansingh Stadium, Jaipur",won,by 12 runs
14,2024-04-01,Mumbai Indians,"Wankhede Stadium, Mumbai",won,by 6 wickets
19,2024-04-06,Royal Challengers Bengaluru,"Sawai Mansingh Stadium, Jaipur",won,by 6 wickets
24,2024-04-10,Gujarat Titans,"Sawai Mansingh Stadium, Jaipur",lost,by 3 wickets
27,2024-04-13,Punjab Kings,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",won,by 3 wickets
31,2024-04-16,Kolkata Knight Riders,"Eden Gardens, Kolkata",won,by 2 wickets
38,2024-04-22,Mumbai Indians,"Sawai Mansingh Stadium, Jaipur",won,by 9 wickets
44,2024-04-27,Lucknow Super Giants,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",won,by 7 wickets
50,2024-05-02,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",lost,by 1 runs
56,2024-05-07,Delhi Capitals,"Arun Jaitley Stadium, Delhi",lost,by 20 runs
61,2024-05-12,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",lost,by 5 wickets
65,2024-05-15,Punjab Kings,"Barsapara Cricket Stadium, Guwahati",lost,by 5 wickets
71,2024-05-22,Royal Challengers Bengaluru,"Narendra Modi Stadium, Ahmedabad",won,by 4 wickets
72,2024-05-24,Sunrisers Hyderabad,"MA Chidambaram Stadium, Chepauk, Chennai",lost,by 36 runs
