match_number,date,opponent,venue,overs,maidens,runs,wickets,economy,dots,wides,noballs
1,2012-04-04,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",3.5,0,16,2,4.17,13,2,0
3,2012-04-06,Pune Warriors,Wankhede Stadium,4.0,1,16,2,4.0,12,1,0
9,2012-04-09,Deccan Chargers,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,4.0,0,27,3,6.75,11,0,0
12,2012-04-11,Rajasthan Royals,Wankhede Stadium,4.0,0,13,2,3.25,17,0,0
36,2012-04-27,Delhi Daredevils,Feroz Shah Kotla,4.0,0,31,2,7.75,10,2,0
40,2012-04-29,Deccan Chargers,Wankhede Stadium,3.4,0,16,4,4.36,12,2,0
45,2012-05-03,Pune Warriors,Subrata Roy Sahara Stadium,4.0,0,25,2,6.25,13,3,0
49,2012-05-06,Chennai Super Kings,Wankhede Stadium,4.0,0,25,3,6.25,11,1,0
54,2012-05-09,Royal Challengers Bangalore,Wankhede Stadium,4.0,0,20,0,5.0,14,1,0
58,2012-05-12,Kolkata Knight Riders,Eden Gardens,4.0,0,27,0,6.75,4,0,0
62,2012-05-14,Royal Challengers Bangalore,M Chinnaswamy Stadium,4.0,0,29,0,7.25,8,2,0
65,2012-05-16,Kolkata Knight Riders,Wankhede Stadium,4.0,0,32,1,8.0,8,2,0
72,2012-05-20,Rajasthan Royals,Sawai Mansingh Stadium,4.0,0,32,1,8.0,6,0,1
74,2012-05-23,Chennai Super Kings,M Chinnaswamy Stadium,4.0,0,41,0,10.25,6,1,0
