position,team,played,won,lost,no_result,net_run_rate,points
1,Chennai Super Kings,17,10,7,0,0.391,20
2,Mumbai Indians,16,10,6,0,0.174,20
3,Royal Challengers Bangalore,16,8,6,2,1.076,18
4,Rajasthan Royals,14,7,5,1,-0.219,15
5,Kolkata Knight Riders,13,7,6,0,0.286,14
6,Sunrisers Hyderabad,14,7,7,0,-0.212,14
7,Delhi Daredevils,14,5,8,1,-0.049,11
8,Kings XI Punjab,14,2,11,0,-1.436,4
