player,team,role,matches
A Ashish Reddy,Sunrisers Hyderabad,all-rounder,6
A Mishra,Delhi Daredevils,all-rounder,12
A Nehra,Chennai Super Kings,all-rounder,16
AB Dinda,Royal Challengers Bangalore,bowler,2
AB de Villiers,Royal Challengers Bangalore,batter,14
AD Mathews,Delhi Daredevils,all-rounder,11
AD Russell,Kolkata Knight Riders,all-rounder,13
AJ Finch,Mumbai Indians,batter,3
AM Rahane,Rajasthan Royals,batter,13
AN Ahmed,Royal Challengers Bangalore,all-rounder,3
AP Tare,Mumbai Indians,batter,2
AR Patel,Kings XI Punjab,all-rounder,14
AT Rayudu,Mumbai Indians,batter,14
Ankit Sharma,Rajasthan Royals,all-rounder,4
Anureet Singh,Kings XI Punjab,all-rounder,14
Azhar Mahmood,Kolkata Knight Riders,all-rounder,1
B Aparajith,Chennai Super Kings,batter,0
B Kumar,Sunrisers Hyderabad,all-rounder,14
BB McCullum,Chennai Super Kings,batter,14
BB Sran,Rajasthan Royals,bowler,1
BE Hendricks,Kings XI Punjab,all-rounder,4
Bipul Sharma,Sunrisers Hyderabad,all-rounder,3
CH Gayle,Royal Challengers Bangalore,all-rounder,14
CH Morris,Rajasthan Royals,all-rounder,11
CJ Anderson,Mumbai Indians,all-rounder,4
CM Gautam,Delhi Daredevils,batter,1
D Wiese,Royal Challengers Bangalore,all-rounder,14
DA Miller,Kings XI Punjab,batter,13
DA Warner,Sunrisers Hyderabad,batter,14
DJ Bravo,Chennai Super Kings,all-rounder,17
DJ Hooda,Rajasthan Royals,all-rounder,11
DJ Muthuswami,Delhi Daredevils,all-rounder,6
DJG Sammy,Royal Challengers Bangalore,all-rounder,2
DR Smith,Chennai Super Kings,all-rounder,16
DS Kulkarni,Rajasthan Royals,all-rounder,11
DW Steyn,Sunrisers Hyderabad,all-rounder,6
EJG Morgan,Sunrisers Hyderabad,batter,9
F du Plessis,Chennai Super Kings,batter,15
G Gambhir,Kolkata Knight Riders,batter,13
GB Hogg,Kolkata Knight Riders,all-rounder,6
GH Vihari,Sunrisers Hyderabad,batter,4
GJ Bailey,Kings XI Punjab,batter,12
GJ Maxwell,Kings XI Punjab,all-rounder,11
GS Sandhu,Delhi Daredevils,bowler,2
Gurkeerat Singh,Kings XI Punjab,all-rounder,5
HH Pandya,Mumbai Indians,all-rounder,9
HV Patel,Royal Challengers Bangalore,all-rounder,15
Harbhajan Singh,Mumbai Indians,all-rounder,15
I Sharma,Sunrisers Hyderabad,bowler,4
IC Pandey,Chennai Super Kings,bowler,10
Imran Tahir,Delhi Daredevils,all-rounder,10
Iqbal Abdulla,Royal Challengers Bangalore,all-rounder,5
J Botha,Kolkata Knight Riders,all-rounder,4
J Suchith,Mumbai Indians,all-rounder,12
J Theron,Rajasthan Royals,all-rounder,1
J Yadav,Delhi Daredevils,bowler,3
JA Morkel,Delhi Daredevils,all-rounder,4
JD Unadkat,Delhi Daredevils,bowler,1
JJ Bumrah,Mumbai Indians,bowler,4
JP Duminy,Delhi Daredevils,all-rounder,14
JP Faulkner,Rajasthan Royals,all-rounder,13
KA Pollard,Mumbai Indians,all-rounder,15
KC Cariappa,Kolkata Knight Riders,bowler,1
KD Karthik,Royal Challengers Bangalore,batter,11
KK Nair,Rajasthan Royals,batter,12
KL Rahul,Sunrisers Hyderabad,batter,8
KM Jadhav,Delhi Daredevils,batter,12
KS Williamson,Sunrisers Hyderabad,batter,2
KV Sharma,Sunrisers Hyderabad,all-rounder,14
Karanveer Singh,Kings XI Punjab,all-rounder,4
LMP Simmons,Mumbai Indians,batter,13
M Morkel,Kolkata Knight Riders,all-rounder,7
M Vijay,Kings XI Punjab,all-rounder,11
M Vohra,Kings XI Punjab,batter,7
M de Lange,Mumbai Indians,bowler,1
MA Agarwal,Delhi Daredevils,batter,10
MA Starc,Royal Challengers Bangalore,all-rounder,12
MC Henriques,Sunrisers Hyderabad,all-rounder,9
MEK Hussey,Chennai Super Kings,batter,4
MG Johnson,Kings XI Punjab,all-rounder,9
MJ McClenaghan,Mumbai Indians,all-rounder,12
MK Pandey,Kolkata Knight Riders,batter,12
MK Tiwary,Delhi Daredevils,batter,2
MM Sharma,Chennai Super Kings,all-rounder,16
MS Bisla,Royal Challengers Bangalore,batter,2
MS Dhoni,Chennai Super Kings,batter,17
Mandeep Singh,Royal Challengers Bangalore,batter,9
NJ Maddinson,Royal Challengers Bangalore,batter,1
NLTC Perera,Kings XI Punjab,all-rounder,2
NM Coulter-Nile,Delhi Daredevils,all-rounder,11
NV Ojha,Sunrisers Hyderabad,batter,11
P Kumar,Sunrisers Hyderabad,all-rounder,12
P Negi,Chennai Super Kings,all-rounder,10
P Suyal,Mumbai Indians,bowler,3
PA Patel,Mumbai Indians,batter,14
PJ Cummins,Kolkata Knight Riders,all-rounder,3
PP Chawla,Kolkata Knight Riders,all-rounder,13
PP Ojha,Mumbai Indians,bowler,1
PV Tambe,Rajasthan Royals,all-rounder,10
Parvez Rasool,Sunrisers Hyderabad,all-rounder,2
Q de Kock,Delhi Daredevils,batter,3
R Ashwin,Chennai Super Kings,all-rounder,13
R Bhatia,Rajasthan Royals,all-rounder,2
R Dhawan,Kings XI Punjab,all-rounder,5
R Tewatia,Rajasthan Royals,bowler,1
R Vinay Kumar,Mumbai Indians,all-rounder,13
RA Jadeja,Chennai Super Kings,all-rounder,17
RG More,Chennai Super Kings,all-rounder,2
RG Sharma,Mumbai Indians,batter,16
RN ten Doeschate,Kolkata Knight Riders,all-rounder,5
RR Rossouw,Royal Challengers Bangalore,batter,2
RS Bopara,Sunrisers Hyderabad,all-rounder,9
RV Uthappa,Kolkata Knight Riders,batter,13
S Aravind,Royal Challengers Bangalore,all-rounder,5
S Dhawan,Sunrisers Hyderabad,batter,14
S Gopal,Mumbai Indians,all-rounder,1
S Nadeem,Delhi Daredevils,all-rounder,3
SA Abbott,Royal Challengers Bangalore,all-rounder,2
SA Yadav,Kolkata Knight Riders,batter,13
SE Marsh,Kings XI Punjab,batter,4
SK Raina,Chennai Super Kings,all-rounder,17
SL Malinga,Mumbai Indians,all-rounder,15
SN Khan,Royal Challengers Bangalore,batter,7
SN Thakur,Kings XI Punjab,all-rounder,1
