match_number,date,opponent,venue,result,margin
5,2024-03-24,Gujarat Titans,"Narendra Modi Stadium, Ahmedabad",lost,by 6 runs
8,2024-03-27,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",lost,by 31 runs
14,2024-04-01,Rajasthan Royals,"Wankhede Stadium, Mumbai",lost,by 6 wickets
20,2024-04-07,Delhi Capitals,"Wankhede Stadium, Mumbai",won,by 29 runs
25,2024-04-11,Royal Challengers Bengaluru,"Wankhede Stadium, Mumbai",won,by 7 wickets
29,2024-04-14,Chennai Super Kings,"Wankhede Stadium, Mumbai",lost,by 20 runs
33,2024-04-18,Punjab Kings,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",won,by 9 runs
38,2024-04-22,Rajasthan Royals,"Sawai Mansingh Stadium, Jaipur",lost,by 9 wickets
43,2024-04-27,Delhi Capitals,"Arun Jaitley Stadium, Delhi",lost,by 10 runs
48,2024-04-30,Lucknow Super Giants,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",lost,by 4 wickets
51,2024-05-03,Kolkata Knight Riders,"Wankhede Stadium, Mumbai",lost,by 24 runs
55,2024-05-06,Sunrisers Hyderabad,"Wankhede Stadium, Mumbai",won,by 7 wickets
60,2024-05-11,Kolkata Knight Riders,"Eden Gardens, Kolkata",lost,by 18 runs
67,2024-05-17,Lucknow Super Giants,"Wankhede Stadium, Mumbai",lost,by 18 runs
