match_number,date,opponent,venue,result,margin
1,2015-04-08,Mumbai Indians,Eden Gardens,won,by 7 wickets
5,2015-04-11,Royal Challengers Bangalore,Eden Gardens,lost,by 3 wickets
14,2015-04-18,Kings XI Punjab,Maharashtra Cricket Association Stadium,won,by 4 wickets
17,2015-04-20,Delhi Daredevils,Feroz Shah Kotla,won,by 6 wickets
19,2015-04-22,Sunrisers Hyderabad,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,lost,by 16 runs
28,2015-04-28,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",lost,by 2 runs
30,2015-04-30,Chennai Super Kings,Eden Gardens,won,by 7 wickets
33,2015-05-02,Royal Challengers Bangalore,M Chinnaswamy Stadium,lost,by 7 wickets
38,2015-05-04,Sunrisers Hyderabad,Eden Gardens,won,by 35 runs
42,2015-05-07,Delhi Daredevils,Eden Gardens,won,by 13 runs
44,2015-05-09,Kings XI Punjab,Eden Gardens,won,by 1 wickets
51,2015-05-14,Mumbai Indians,Wankhede Stadium,lost,by 5 runs
54,2015-05-16,Rajasthan Royals,Brabourne Stadium,lost,by 9 runs
