innings,team,wicket_number,batter_1,batter_1_runs,batter_1_balls,batter_2,batter_2_runs,batter_2_balls,extras,total_runs,total_balls
1,Sunrisers Hyderabad,1,TM Head,1,4,Abhishek Sharma,0,2,0,1,6
1,Sunrisers Hyderabad,2,TM Head,6,4,Ishan Kishan,1,3,0,7,7
1,Sunrisers Hyderabad,3,LS Livingstone,2,7,Ishan Kishan,0,1,1,3,8
1,Sunrisers Hyderabad,4,H Klaasen,3,9,LS Livingstone,12,13,0,15,22
1,Sunrisers Hyderabad,5,Nithish Kumar Reddy,56,33,H Klaasen,58,30,2,116,63
1,Sunrisers Hyderabad,6,Aniket Verma,1,1,H Klaasen,1,2,0,2,3
1,Sunrisers Hyderabad,7,Harsh Dubey,0,1,Aniket Verma,0,0,0,0,1
1,Sunrisers Hyderabad,8,Shivang Kumar,5,4,Aniket Verma,1,3,1,7,7
1,Sunrisers Hyderabad,9,HV Patel,4,2,Aniket Verma,0,1,1,5,3
1,Sunrisers Hyderabad,10,HV Patel,4,2,Aniket Verma,0,1,1,5,3
2,Lucknow Super Giants,1,AK Markram,23,16,MR Marsh,14,12,0,37,28
2,Lucknow Super Giants,2,RR Pant,17,17,AK Markram,22,11,1,40,28
2,Lucknow Super Giants,3,A Badoni,12,9,RR Pant,13,8,0,25,17
2,Lucknow Super Giants,4,N Pooran,1,4,RR Pant,1,2,1,3,6
2,Lucknow Super Giants,5,Abdul Samad,16,12,RR Pant,18,15,0,34,27
2,Lucknow Super Giants,6,MD Choudhary,2,5,RR Pant,19,8,0,21,13
