innings,over,ball,team,batter,bowler,umpire,type,decision,umpires_call
1,10,1,Kolkata Knight Riders,WP Saha,Kuldeep Yadav,Nitin Menon,,struck down,False
2,7,1,Sunrisers Hyderabad,CA Lynn,Rashid Khan,Nitin Menon,,struck down,False
