match_number,date,opponent,venue,result,margin
1,2017-04-05,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",won,by 35 runs
6,2017-04-09,Gujarat Lions,"Rajiv Gandhi International Stadium, Uppal",won,by 9 wickets
10,2017-04-12,Mumbai Indians,Wankhede Stadium,lost,by 4 wickets
14,2017-04-15,Kolkata Knight Riders,Eden Gardens,lost,by 17 runs
19,2017-04-17,Kings XI Punjab,"Rajiv Gandhi International Stadium, Uppal",won,by 5 runs
21,2017-04-19,Delhi Daredevils,"Rajiv Gandhi International Stadium, Uppal",won,by 15 runs
24,2017-04-22,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,lost,by 6 wickets
33,2017-04-28,Kings XI Punjab,"Punjab Cricket Association IS Bindra Stadium, Mohali",won,by 26 runs
37,2017-04-30,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal",won,by 48 runs
40,2017-05-02,Delhi Daredevils,Feroz Shah Kotla,lost,by 6 wickets
44,2017-05-06,Rising Pune Supergiant,"Rajiv Gandhi International Stadium, Uppal",lost,by 12 runs
48,2017-05-08,Mumbai Indians,"Rajiv Gandhi International Stadium, Uppal",won,by 7 wickets
53,2017-05-13,Gujarat Lions,Green Park,won,by 8 wickets
58,2017-05-17,Kolkata Knight Riders,M Chinnaswamy Stadium,lost,by 7 wickets
