match_number,date,opponent,venue,overs,maidens,runs,wickets,economy,dots,wides,noballs
18,2026-04-11,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",2.0,0,17,0,8.5,4,1,0
26,2026-04-18,Royal Challengers Bengaluru,"M Chinnaswamy Stadium, Bengaluru",3.0,0,36,0,12.0,1,1,0
35,2026-04-25,Punjab Kings,"Arun Jaitley Stadium, Delhi",2.0,0,41,0,20.5,3,1,1
