match_number,date,opponent,venue,result,margin
5,2024-03-24,Mumbai Indians,"Narendra Modi Stadium, Ahmedabad",won,by 6 runs
7,2024-03-26,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",lost,by 63 runs
12,2024-03-31,Sunrisers Hyderabad,"Narendra Modi Stadium, Ahmedabad",won,by 7 wickets
17,2024-04-04,Punjab Kings,"Narendra Modi Stadium, Ahmedabad",lost,by 3 wickets
21,2024-04-07,Lucknow Super Giants,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",lost,by 33 runs
24,2024-04-10,Rajasthan Royals,"Sawai Mansingh Stadium, Jaipur",won,by 3 wickets
32,2024-04-17,Delhi Capitals,"Narendra Modi Stadium, Ahmedabad",lost,by 6 wickets
37,2024-04-21,Punjab Kings,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",won,by 3 wickets
40,2024-04-24,Delhi Capitals,"Arun Jaitley Stadium, Delhi",lost,by 4 runs
45,2024-04-28,Royal Challengers Bengaluru,"Narendra Modi Stadium, Ahmedabad",lost,by 9 wickets
52,2024-05-04,Royal Challengers Bengaluru,"M Chinnaswamy Stadium, Bengaluru",lost,by 4 wickets
59,2024-05-10,Chennai Super Kings,"Narendra Modi Stadium, Ahmedabad",won,by 35 runs
