innings,team,phase,runs,wickets,balls,run_rate,boundaries,dots
1,Deccan Chargers,death,54,5,30,10.8,7,6
1,Deccan Chargers,middle,67,1,54,7.44,6,16
1,Deccan Chargers,powerplay,26,2,36,4.33,3,21
2,Chennai Super Kings,death,58,1,41,8.49,6,10
2,Chennai Super Kings,middle,46,1,40,6.9,5,17
2,Chennai Super Kings,powerplay,44,1,35,7.54,8,19
