innings,over,ball,team,batter,bowler,umpire,type,decision,umpires_call
1,5,6,Gujarat Titans,RA Tripathi,Mohammed Shami,Navdeep Singh,,upheld,False
2,17,6,Gujarat Titans,R Tewatia,T Natarajan,Navdeep Singh,,upheld,False
