innings,over,ball,team,batter,bowler,umpire,type,decision,umpires_call
1,4,1,Chennai Super Kings,DP Conway,MM Ali,CB Gaffaney,wicket,struck down,True
1,16,3,Chennai Super Kings,MS Dhoni,SP Narine,CB Gaffaney,wicket,struck down,False
