match_number,date,opponent,venue,overs,maidens,runs,wickets,economy,dots,wides,noballs
3,2023-04-01,Lucknow Super Giants,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",4.0,0,34,0,8.5,5,1,0
7,2023-04-04,Gujarat Titans,"Arun Jaitley Stadium, Delhi",4.0,0,42,0,10.5,8,1,0
11,2023-04-08,Rajasthan Royals,"Barsapara Cricket Stadium, Guwahati",4.0,0,36,2,9.0,7,0,0
16,2023-04-11,Mumbai Indians,"Arun Jaitley Stadium, Delhi",2.0,0,30,2,15.0,6,0,0
28,2023-04-20,Kolkata Knight Riders,"Arun Jaitley Stadium, Delhi",4.0,0,34,1,8.5,15,4,0
34,2023-04-24,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",3.0,0,27,0,9.0,4,0,0
40,2023-04-29,Sunrisers Hyderabad,"Arun Jaitley Stadium, Delhi",2.0,0,38,0,19.0,2,2,1
50,2023-05-06,Royal Challengers Bangalore,"Arun Jaitley Stadium, Delhi",3.0,0,30,1,10.0,6,1,0
59,2023-05-13,Punjab Kings,"Arun Jaitley Stadium, Delhi",1.0,0,3,1,3.0,3,0,0
64,2023-05-17,Punjab Kings,"Himachal Pradesh Cricket Association Stadium, Dharamsala",4.0,0,52,0,13.0,7,1,0
