innings,team,wicket_number,player_out,score,over
1,Delhi Capitals,1,S Dhawan,6,2.4
1,Delhi Capitals,2,PP Shaw,9,4.3
1,Delhi Capitals,3,SO Hetmyer,13,4.6
1,Delhi Capitals,4,RR Pant,86,14.6
1,Delhi Capitals,5,SS Iyer,87,15.1
1,Delhi Capitals,6,AR Patel,96,17.1
1,Delhi Capitals,7,R Ashwin,127,19.6
1,Delhi Capitals,8,MP Stoinis,154,20.5
2,Kings XI Punjab,1,KL Rahul,30,5.3
2,Kings XI Punjab,2,KK Nair,33,6.1
2,Kings XI Punjab,3,N Pooran,34,6.5
2,Kings XI Punjab,4,GJ Maxwell,35,7.3
2,Kings XI Punjab,5,SN Khan,55,10.6
2,Kings XI Punjab,6,K Gowtham,101,16.3
2,Kings XI Punjab,7,MA Agarwal,157,20.5
2,Kings XI Punjab,8,CJ Jordan,157,20.6
