team,ball,batter,bowler,non_striker,batter_runs,extra_runs,total_runs,extra_type,is_wicket,wicket_kind,player_out
Kings XI Punjab,1,KL Rahul,K Rabada,N Pooran,2,0,2,,False,,
Kings XI Punjab,2,KL Rahul,K Rabada,N Pooran,0,0,0,,True,caught,KL Rahul
Kings XI Punjab,3,N Pooran,K Rabada,GJ Maxwell,0,0,0,,True,bowled,N Pooran
Delhi Capitals,1,RR Pant,Mohammed Shami,SS Iyer,0,0,0,,False,,
Delhi Capitals,1,RR Pant,Mohammed Shami,SS Iyer,0,1,1,wides,False,,
Delhi Capitals,2,RR Pant,Mohammed Shami,SS Iyer,2,0,2,,False,,
