match_number,date,opponent,catches,stumpings,run_outs
23,2026-04-15,Royal Challengers Bengaluru,1,0,0
29,2026-04-19,Punjab Kings,1,0,1
32,2026-04-22,Rajasthan Royals,1,0,0
