match_number,date,opponent,venue,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
5,2013-04-06,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",20,23,3,0,86.96,b Harbhajan Singh,1
11,2013-04-10,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",86,54,11,2,159.26,not out,2
16,2013-04-13,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chepauk",6,16,0,0,37.5,c MA Agarwal b R Vinay Kumar,1
24,2013-04-18,Delhi Daredevils,Feroz Shah Kotla,65,50,6,2,130.0,not out,1
26,2013-04-20,Kolkata Knight Riders,Eden Gardens,40,51,2,1,78.43,c YK Pathan b L Balaji,1
30,2013-04-22,Rajasthan Royals,"MA Chidambaram Stadium, Chepauk",88,51,13,1,172.55,run out (R Dravid),2
34,2013-04-25,Sunrisers Hyderabad,"MA Chidambaram Stadium, Chepauk",45,26,5,2,173.08,c Q de Kock b A Mishra,1
38,2013-04-28,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk",95,59,11,2,161.02,c DB Das b SP Narine,2
42,2013-04-30,Pune Warriors,Subrata Roy Sahara Stadium,5,8,1,0,62.5,b KW Richardson,1
45,2013-05-02,Kings XI Punjab,"MA Chidambaram Stadium, Chepauk",35,29,3,0,120.69,st Gurkeerat Singh b PP Chawla,2
49,2013-05-05,Mumbai Indians,Wankhede Stadium,22,26,1,1,84.62,c DR Smith b PP Ojha,1
54,2013-05-08,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",67,42,5,4,159.52,b NLTC Perera,1
61,2013-05-12,Rajasthan Royals,Sawai Mansingh Stadium,40,40,6,0,100.0,b STR Binny,1
64,2013-05-14,Delhi Daredevils,"MA Chidambaram Stadium, Chepauk",26,26,3,0,100.0,c V Sehwag b UT Yadav,1
70,2013-05-18,Royal Challengers Bangalore,M Chinnaswamy Stadium,6,5,1,0,120.0,c KL Rahul b Z Khan,1
73,2013-05-21,Mumbai Indians,Feroz Shah Kotla,86,58,10,2,148.28,not out,1
76,2013-05-26,Mumbai Indians,Eden Gardens,1,2,0,0,50.0,b SL Malinga,1
