innings,team,phase,runs,wickets,balls,run_rate,boundaries,dots
1,Royal Challengers Bengaluru,death,29,4,30,5.8,2,12
1,Royal Challengers Bengaluru,middle,87,3,54,9.67,10,15
1,Royal Challengers Bengaluru,powerplay,59,1,36,9.83,7,8
2,Delhi Capitals,death,64,1,42,9.14,6,6
2,Delhi Capitals,middle,65,1,41,9.51,7,6
2,Delhi Capitals,powerplay,50,3,36,8.33,7,15
