innings,team,wicket_number,player_out,score,over
1,Mumbai Indians,1,JEC Franklin,50,8.4
1,Mumbai Indians,2,RG Sharma,56,9.6
1,Mumbai Indians,3,SR Tendulkar,81,12.6
1,Mumbai Indians,4,RJ Peterson,88,14.3
1,Mumbai Indians,5,AT Rayudu,92,15.5
1,Mumbai Indians,6,NLTC Perera,93,16.6
1,Mumbai Indians,7,Harbhajan Singh,93,17.1
1,Mumbai Indians,8,SL Malinga,119,20.4
1,Mumbai Indians,9,PP Ojha,120,20.6
2,Pune Warriors,1,RV Uthappa,20,4.3
2,Pune Warriors,2,JD Ryder,40,7.5
2,Pune Warriors,3,MJ Clarke,44,9.2
2,Pune Warriors,4,SPD Smith,47,10.5
2,Pune Warriors,5,SC Ganguly,94,17.6
2,Pune Warriors,6,WD Parnell,105,19.2
