player,team,role,matches
KD Karthik,Delhi Daredevils,batter,14
KK Cooper,Rajasthan Royals,all-rounder,5
KK Nair,Rajasthan Royals,batter,11
KL Rahul,Sunrisers Hyderabad,batter,8
KM Jadhav,Delhi Daredevils,batter,10
KP Pietersen,Delhi Daredevils,batter,11
KV Sharma,Sunrisers Hyderabad,all-rounder,14
KW Richardson,Rajasthan Royals,all-rounder,7
Karanveer Singh,Kings XI Punjab,all-rounder,5
L Balaji,Kings XI Punjab,all-rounder,9
LMP Simmons,Mumbai Indians,all-rounder,8
LR Shukla,Delhi Daredevils,all-rounder,5
LRPL Taylor,Delhi Daredevils,batter,4
M Kartik,Kings XI Punjab,bowler,2
M Manhas,Chennai Super Kings,batter,5
M Morkel,Kolkata Knight Riders,all-rounder,12
M Muralitharan,Royal Challengers Bangalore,bowler,5
M Vijay,Delhi Daredevils,all-rounder,11
M Vohra,Kings XI Punjab,batter,8
M de Lange,Mumbai Indians,all-rounder,1
MA Agarwal,Delhi Daredevils,batter,8
MA Starc,Royal Challengers Bangalore,all-rounder,14
MC Henriques,Sunrisers Hyderabad,all-rounder,4
MEK Hussey,Mumbai Indians,batter,9
MG Johnson,Kings XI Punjab,all-rounder,14
MK Pandey,Kolkata Knight Riders,batter,16
MK Tiwary,Delhi Daredevils,all-rounder,8
MM Sharma,Chennai Super Kings,all-rounder,16
MS Bisla,Kolkata Knight Riders,batter,1
MS Dhoni,Chennai Super Kings,batter,15
Mandeep Singh,Kings XI Punjab,batter,3
Mohammed Shami,Delhi Daredevils,all-rounder,12
NJ Maddinson,Royal Challengers Bangalore,batter,2
NM Coulter-Nile,Delhi Daredevils,bowler,1
NV Ojha,Sunrisers Hyderabad,batter,10
P Awana,Kings XI Punjab,bowler,7
P Kumar,Mumbai Indians,all-rounder,3
P Negi,Chennai Super Kings,bowler,2
P Suyal,Mumbai Indians,bowler,1
PA Patel,Royal Challengers Bangalore,batter,12
PJ Cummins,Kolkata Knight Riders,bowler,1
PP Chawla,Kolkata Knight Riders,all-rounder,11
PP Ojha,Mumbai Indians,all-rounder,12
PV Tambe,Rajasthan Royals,all-rounder,13
Parvez Rasool,Sunrisers Hyderabad,bowler,3
Q de Kock,Delhi Daredevils,batter,7
R Ashwin,Chennai Super Kings,all-rounder,16
R Bhatia,Rajasthan Royals,all-rounder,12
R Dhawan,Kings XI Punjab,all-rounder,13
R Rampaul,Royal Challengers Bangalore,all-rounder,2
R Sharma,Delhi Daredevils,bowler,2
R Shukla,Delhi Daredevils,all-rounder,3
R Tewatia,Rajasthan Royals,all-rounder,3
R Vinay Kumar,Kolkata Knight Riders,all-rounder,9
RA Jadeja,Chennai Super Kings,all-rounder,16
RG Sharma,Mumbai Indians,all-rounder,15
RN ten Doeschate,Kolkata Knight Riders,all-rounder,7
RR Rossouw,Royal Challengers Bangalore,batter,3
RV Uthappa,Kolkata Knight Riders,batter,16
S Anirudha,Sunrisers Hyderabad,batter,1
S Badree,Chennai Super Kings,bowler,4
S Dhawan,Sunrisers Hyderabad,batter,14
S Gopal,Mumbai Indians,all-rounder,4
S Kaul,Delhi Daredevils,all-rounder,5
S Nadeem,Delhi Daredevils,all-rounder,11
S Rana,Royal Challengers Bangalore,all-rounder,7
SA Yadav,Kolkata Knight Riders,all-rounder,11
SB Jakati,Royal Challengers Bangalore,bowler,1
SE Marsh,Kings XI Punjab,batter,2
SK Raina,Chennai Super Kings,all-rounder,16
SL Malinga,Mumbai Indians,all-rounder,10
SP Narine,Kolkata Knight Riders,all-rounder,16
SPD Smith,Rajasthan Royals,batter,7
SR Watson,Rajasthan Royals,all-rounder,13
STR Binny,Rajasthan Royals,all-rounder,13
SV Samson,Rajasthan Royals,batter,13
Sandeep Sharma,Kings XI Punjab,all-rounder,11
Shakib Al Hasan,Kolkata Knight Riders,all-rounder,13
Shivam Sharma,Kings XI Punjab,all-rounder,4
TG Southee,Rajasthan Royals,all-rounder,3
UBT Chand,Rajasthan Royals,batter,1
UT Yadav,Kolkata Knight Riders,all-rounder,12
V Kohli,Royal Challengers Bangalore,batter,14
V Sehwag,Kings XI Punjab,batter,17
V Shankar,Chennai Super Kings,bowler,1
VH Zol,Royal Challengers Bangalore,batter,2
VR Aaron,Royal Challengers Bangalore,all-rounder,10
VS Malik,Rajasthan Royals,all-rounder,1
WD Parnell,Delhi Daredevils,all-rounder,8
WP Saha,Kings XI Punjab,batter,13
Y Venugopal Rao,Sunrisers Hyderabad,all-rounder,7
YK Pathan,Kolkata Knight Riders,all-rounder,12
YS Chahal,Royal Challengers Bangalore,all-rounder,14
YV Takawale,Royal Challengers Bangalore,batter,5
Yuvraj Singh,Royal Challengers Bangalore,all-rounder,14
Z Khan,Mumbai Indians,all-rounder,6
