position,team,played,won,lost,no_result,net_run_rate,points
1,Kings XI Punjab,17,12,5,0,0.769,24
2,Kolkata Knight Riders,16,11,4,0,0.476,22
3,Chennai Super Kings,16,10,6,0,0.19,20
4,Mumbai Indians,15,7,8,0,0.042,14
5,Rajasthan Royals,14,6,7,0,0.06,12
6,Sunrisers Hyderabad,14,6,8,0,-0.308,12
7,Royal Challengers Bangalore,14,5,9,0,-0.428,10
8,Delhi Daredevils,14,2,12,0,-1.106,4
