cricsheet_match_id,match_number,date,venue,team_1,team_2,toss_winner,toss_decision,winner,result,win_by_runs,win_by_wickets,player_of_match,team_1_score,team_2_score,team_1_overs,team_2_overs,method,target_overs,match_stage,umpire_1,umpire_2,tv_umpire,match_referee
729279,1,2014-04-16,Sheikh Zayed Stadium,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,Kolkata Knight Riders,,41,0,JH Kallis,163/5,122/7,20.0,20.0,,20,league,M Erasmus,RK Illingworth,BF Bowden,AJ Pycroft
729281,2,2014-04-17,Sharjah Cricket Stadium,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,,0,8,YS Chahal,145/4,146/2,20.0,16.4,,20,league,Aleem Dar,S Ravi,VA Kulkarni,GF Labrooy
729283,3,2014-04-18,Sheikh Zayed Stadium,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,bat,Kings XI Punjab,,0,6,GJ Maxwell,205/4,206/4,20.0,18.5,,20,league,RK Illingworth,C Shamshuddin,BF Bowden,AJ Pycroft
729285,4,2014-04-18,Sheikh Zayed Stadium,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,,0,4,AM Rahane,133/6,135/6,20.0,19.3,,20,league,BF Bowden,RK Illingworth,C Shamshuddin,AJ Pycroft
729287,5,2014-04-19,Dubai International Cricket Stadium,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,,0,7,PA Patel,115/9,116/3,20.0,17.3,,20,league,Aleem Dar,AK Chaudhary,VA Kulkarni,GF Labrooy
729289,6,2014-04-19,Dubai International Cricket Stadium,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,bat,Delhi Daredevils,,0,4,JP Duminy,166/5,167/6,20.0,19.3,,20,league,Aleem Dar,VA Kulkarni,AK Chaudhary,GF Labrooy
729291,7,2014-04-20,Sharjah Cricket Stadium,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,,0,7,GJ Maxwell,191/5,193/3,20.0,18.4,,20,league,BF Bowden,M Erasmus,S Ravi,AJ Pycroft
729293,8,2014-04-21,Sheikh Zayed Stadium,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,bat,Chennai Super Kings,,93,0,SK Raina,177/7,84/9,20.0,15.4,,20,league,RK Illingworth,C Shamshuddin,HDPK Dharmasena,GF Labrooy
729295,9,2014-04-22,Sharjah Cricket Stadium,Kings XI Punjab,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Kings XI Punjab,,72,0,GJ Maxwell,193/6,121/10,20.0,19.2,,20,league,M Erasmus,S Ravi,BF Bowden,AJ Pycroft
729297,10,2014-04-23,Dubai International Cricket Stadium,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,Chennai Super Kings,,7,0,RA Jadeja,140/6,133/10,20.0,19.5,,20,league,HDPK Dharmasena,RK Illingworth,C Shamshuddin,GF Labrooy
729299,11,2014-04-24,Sharjah Cricket Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Kolkata Knight Riders,,2,0,CA Lynn,150/7,148/5,20.0,20.0,,20,league,Aleem Dar,VA Kulkarni,AK Chaudhary,AJ Pycroft
