innings,team,wicket_number,player_out,score,over
1,Rajasthan Royals,1,FY Fazal,18,3.6
1,Rajasthan Royals,2,R Dravid,18,4.1
1,Rajasthan Royals,3,AM Rahane,26,6.2
1,Rajasthan Royals,4,SR Watson,63,9.5
1,Rajasthan Royals,5,PR Shah,68,10.4
1,Rajasthan Royals,6,JDP Oram,77,12.2
1,Rajasthan Royals,7,SK Warne,81,14.1
1,Rajasthan Royals,8,AA Chavan,82,14.5
1,Rajasthan Royals,9,AL Menaria,89,16.2
1,Rajasthan Royals,10,ND Doshi,97,19.3
2,Kochi Tuskers Kerala,1,DPMD Jayawardene,26,2.3
2,Kochi Tuskers Kerala,2,BB McCullum,45,4.1
