match_number,date,opponent,venue,overs,maidens,runs,wickets,economy,dots,wides,noballs
21,2010-03-25,Mumbai Indians,"Brabourne Stadium, Mumbai",4.0,0,30,1,7.5,7,0,0
24,2010-03-28,Rajasthan Royals,"Sardar Patel Stadium, Motera",4.0,0,30,2,7.5,8,0,0
28,2010-03-31,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chepauk",4.0,1,17,2,4.25,14,0,0
32,2010-04-03,Rajasthan Royals,"MA Chidambaram Stadium, Chepauk",3.0,0,37,0,12.33,3,0,0
37,2010-04-06,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",4.0,0,27,1,6.75,8,1,0
42,2010-04-10,Deccan Chargers,"Vidarbha Cricket Association Stadium, Jamtha",4.0,0,29,1,7.25,11,0,0
48,2010-04-13,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk",4.0,0,23,1,5.75,10,1,0
50,2010-04-15,Delhi Daredevils,"MA Chidambaram Stadium, Chepauk",3.0,0,14,1,4.67,9,0,0
54,2010-04-18,Kings XI Punjab,Himachal Pradesh Cricket Association Stadium,1.0,0,14,0,14.0,0,0,0
58,2010-04-22,Deccan Chargers,Dr DY Patil Sports Academy,4.0,0,44,2,11.0,8,2,0
60,2010-04-25,Mumbai Indians,Dr DY Patil Sports Academy,3.0,0,26,2,8.67,4,0,0
