innings,team,wicket_number,batter_1,batter_1_runs,batter_1_balls,batter_2,batter_2_runs,batter_2_balls,extras,total_runs,total_balls
1,Delhi Capitals,1,P Nissanka,26,16,KL Rahul,23,14,0,49,30
1,Delhi Capitals,2,P Nissanka,17,8,N Rana,8,10,0,25,18
1,Delhi Capitals,3,P Nissanka,3,4,Sameer Rizvi,3,7,0,6,11
1,Delhi Capitals,4,T Stubbs,0,1,P Nissanka,4,1,1,5,2
1,Delhi Capitals,5,AR Patel,1,1,T Stubbs,2,3,1,4,4
1,Delhi Capitals,6,Ashutosh Sharma,29,25,AR Patel,10,21,0,39,46
1,Delhi Capitals,7,V Nigam,2,2,Ashutosh Sharma,10,3,0,12,5
1,Delhi Capitals,8,MA Starc,0,2,V Nigam,0,0,0,0,2
1,Delhi Capitals,9,V Nigam,1,1,L Ngidi,1,1,0,2,2
2,Kolkata Knight Riders,1,AM Rahane,13,9,FH Allen,16,9,0,29,18
2,Kolkata Knight Riders,2,A Raghuvanshi,1,3,FH Allen,1,1,0,2,4
2,Kolkata Knight Riders,3,C Green,33,27,FH Allen,83,37,0,116,64
