match_number,date,opponent,venue,result,margin
2,2015-04-09,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",lost,by 1 runs
6,2015-04-12,Rajasthan Royals,Feroz Shah Kotla,lost,by 3 wickets
10,2015-04-15,Kings XI Punjab,Maharashtra Cricket Association Stadium,won,by 5 wickets
13,2015-04-18,Sunrisers Hyderabad,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,won,by 4 runs
17,2015-04-20,Kolkata Knight Riders,Feroz Shah Kotla,lost,by 6 wickets
21,2015-04-23,Mumbai Indians,Feroz Shah Kotla,won,by 37 runs
26,2015-04-26,Royal Challengers Bangalore,Feroz Shah Kotla,lost,by 10 wickets
31,2015-05-01,Kings XI Punjab,Feroz Shah Kotla,won,by 9 wickets
36,2015-05-03,Rajasthan Royals,Brabourne Stadium,lost,by 14 runs
39,2015-05-05,Mumbai Indians,Wankhede Stadium,lost,by 5 wickets
42,2015-05-07,Kolkata Knight Riders,Eden Gardens,lost,by 13 runs
45,2015-05-09,Sunrisers Hyderabad,Shaheed Veer Narayan Singh International Stadium,lost,by 6 runs
49,2015-05-12,Chennai Super Kings,Shaheed Veer Narayan Singh International Stadium,won,by 6 wickets
55,2015-05-17,Royal Challengers Bangalore,M Chinnaswamy Stadium,no result,
