match_number,date,opponent,venue,overs,maidens,runs,wickets,economy,dots,wides,noballs
9,2023-04-06,Royal Challengers Bangalore,"Eden Gardens, Kolkata",4.0,0,30,3,7.5,11,1,0
13,2023-04-09,Gujarat Titans,"Narendra Modi Stadium, Ahmedabad",4.0,0,35,1,8.75,6,1,0
19,2023-04-14,Sunrisers Hyderabad,"Eden Gardens, Kolkata",4.0,0,44,0,11.0,8,0,0
22,2023-04-16,Mumbai Indians,"Wankhede Stadium, Mumbai",4.0,0,27,2,6.75,11,0,0
33,2023-04-23,Chennai Super Kings,"Eden Gardens, Kolkata",4.0,0,29,1,7.25,8,0,0
36,2023-04-26,Royal Challengers Bangalore,"M Chinnaswamy Stadium, Bengaluru",4.0,0,30,2,7.5,5,1,0
39,2023-04-29,Gujarat Titans,"Eden Gardens, Kolkata",4.0,0,37,0,9.25,6,0,0
53,2023-05-08,Punjab Kings,"Eden Gardens, Kolkata",4.0,0,26,1,6.5,11,1,0
56,2023-05-11,Rajasthan Royals,"Eden Gardens, Kolkata",3.0,0,22,0,7.33,6,0,0
61,2023-05-14,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",3.0,0,29,0,9.67,6,0,1
68,2023-05-20,Lucknow Super Giants,"Eden Gardens, Kolkata",1.0,0,12,0,12.0,2,0,0
