innings,team,phase,runs,wickets,balls,run_rate,boundaries,dots
1,Mumbai Indians,death,51,4,30,10.2,6,13
1,Mumbai Indians,middle,69,2,54,7.67,6,13
1,Mumbai Indians,powerplay,62,2,36,10.33,11,16
2,Lucknow Super Giants,death,16,5,35,2.74,0,19
2,Lucknow Super Giants,middle,49,3,34,8.65,6,14
2,Lucknow Super Giants,powerplay,36,2,30,7.2,5,14
