match_number,date,opponent,venue,overs,maidens,runs,wickets,economy,dots,wides,noballs
1,2023-03-31,Gujarat Titans,"Narendra Modi Stadium, Ahmedabad",3.2,0,51,1,15.3,4,1,1
6,2023-04-03,Lucknow Super Giants,"MA Chidambaram Stadium, Chepauk, Chennai",4.0,0,45,2,11.25,7,4,3
12,2023-04-08,Mumbai Indians,"Wankhede Stadium, Mumbai",3.0,0,31,2,10.33,8,1,0
17,2023-04-12,Rajasthan Royals,"MA Chidambaram Stadium, Chepauk, Chennai",4.0,0,37,2,9.25,7,1,0
24,2023-04-17,Royal Challengers Bangalore,"M Chinnaswamy Stadium, Bengaluru",4.0,0,45,3,11.25,8,3,0
29,2023-04-21,Sunrisers Hyderabad,"MA Chidambaram Stadium, Chepauk, Chennai",3.0,0,26,0,8.67,7,1,0
33,2023-04-23,Kolkata Knight Riders,"Eden Gardens, Kolkata",4.0,0,43,2,10.75,11,4,0
37,2023-04-27,Rajasthan Royals,"Sawai Mansingh Stadium, Jaipur",4.0,0,42,2,10.5,10,0,0
41,2023-04-30,Punjab Kings,"MA Chidambaram Stadium, Chepauk, Chennai",4.0,0,49,3,12.25,8,2,0
45,2023-05-03,Lucknow Super Giants,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",1.0,0,1,0,1.0,5,0,0
49,2023-05-06,Mumbai Indians,"MA Chidambaram Stadium, Chepauk, Chennai",4.0,0,26,2,6.5,9,1,0
55,2023-05-10,Delhi Capitals,"MA Chidambaram Stadium, Chepauk, Chennai",3.0,0,18,0,6.0,8,0,0
61,2023-05-14,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk, Chennai",3.3,0,25,0,7.14,11,2,0
67,2023-05-20,Delhi Capitals,"Arun Jaitley Stadium, Delhi",4.0,0,26,1,6.5,10,1,0
71,2023-05-23,Gujarat Titans,"MA Chidambaram Stadium, Chepauk, Chennai",4.0,0,43,1,10.75,11,2,0
74,2023-05-29,Gujarat Titans,"Narendra Modi Stadium, Ahmedabad",4.0,0,56,0,14.0,4,0,0
