innings,team,phase,runs,wickets,balls,run_rate,boundaries,dots
1,Kings XI Punjab,death,55,2,42,7.86,6,13
1,Kings XI Punjab,middle,19,1,41,2.78,1,27
1,Kings XI Punjab,powerplay,38,5,36,6.33,6,24
2,Pune Warriors,death,45,0,28,9.64,6,10
2,Pune Warriors,middle,41,2,27,9.11,8,13
2,Pune Warriors,powerplay,27,1,24,6.75,4,13
