innings,team,wicket_number,player_out,score,over
1,Punjab Kings,1,P Simran Singh,52,6.3
1,Punjab Kings,2,RR Rossouw,63,7.6
1,Punjab Kings,3,SM Curran,67,8.5
1,Punjab Kings,4,LS Livingstone,78,11.2
1,Punjab Kings,5,JM Sharma,86,12.4
1,Punjab Kings,6,Ashutosh Sharma,92,14.5
1,Punjab Kings,7,Shashank Singh,99,16.2
1,Punjab Kings,8,Harpreet Brar,139,19.6
1,Punjab Kings,9,HV Patel,140,20.2
1,Punjab Kings,10,Harpreet Singh,142,20.6
2,Gujarat Titans,1,WP Saha,25,4.4
2,Gujarat Titans,2,Shubman Gill,66,10.3
2,Gujarat Titans,3,DA Miller,77,12.5
2,Gujarat Titans,4,B Sai Sudharsan,97,15.4
2,Gujarat Titans,5,Azmatullah Omarzai,103,16.2
2,Gujarat Titans,6,M Shahrukh Khan,138,19.1
2,Gujarat Titans,7,Rashid Khan,142,19.6
