match_number,date,opponent,venue,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
1,2017-04-05,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",31,16,4,1,193.75,run out (BCJ Cutting),4
5,2017-04-08,Delhi Daredevils,M.Chinnaswamy Stadium,69,37,5,5,186.49,c CH Morris b Z Khan,4
8,2017-04-10,Kings XI Punjab,Holkar Cricket Stadium,1,4,0,0,25.0,lbw b VR Aaron,4
12,2017-04-14,Mumbai Indians,M Chinnaswamy Stadium,9,8,0,0,112.5,run out (JJ Bumrah),4
17,2017-04-16,Rising Pune Supergiant,M Chinnaswamy Stadium,18,22,0,0,81.82,b JD Unadkat,4
20,2017-04-18,Gujarat Lions,Saurashtra Cricket Association Stadium,38,16,5,2,237.5,not out,4
27,2017-04-23,Kolkata Knight Riders,Eden Gardens,9,7,2,0,128.57,c CR Woakes b NM Coulter-Nile,5
31,2017-04-27,Gujarat Lions,M Chinnaswamy Stadium,31,18,4,1,172.22,b RA Jadeja,5
34,2017-04-29,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,7,12,1,0,58.33,"run out (LH Ferguson, MS Dhoni)",4
38,2017-05-01,Mumbai Indians,Wankhede Stadium,28,22,2,0,127.27,c KA Pollard b MJ McClenaghan,5
43,2017-05-05,Kings XI Punjab,M Chinnaswamy Stadium,6,6,1,0,100.0,c AR Patel b MM Sharma,5
46,2017-05-07,Kolkata Knight Riders,M Chinnaswamy Stadium,8,9,1,0,88.89,c UT Yadav b CR Woakes,6
56,2017-05-14,Delhi Daredevils,Feroz Shah Kotla,12,9,0,1,133.33,run out (PJ Cummins),5
