innings,over,ball,team,batter,bowler,umpire,type,decision,umpires_call
2,2,3,Sunrisers Hyderabad,MA Agarwal,Harshit Rana,YC Barde,wicket,upheld,False
2,13,6,Kolkata Knight Riders,Abdul Samad,SP Narine,R Pandit,wicket,struck down,True
