innings,team,wicket_number,player_out,score,over
1,Kolkata Knight Riders,1,SP Narine,23,2.6
1,Kolkata Knight Riders,2,VR Iyer,32,4.3
1,Kolkata Knight Riders,3,SS Iyer,32,4.5
1,Kolkata Knight Riders,4,N Rana,51,8.3
1,Kolkata Knight Riders,5,Ramandeep Singh,105,13.1
1,Kolkata Knight Riders,6,PD Salt,119,14.5
1,Kolkata Knight Riders,7,RK Singh,200,20.1
2,Sunrisers Hyderabad,1,MA Agarwal,60,6.3
2,Sunrisers Hyderabad,2,Abhishek Sharma,71,8.2
2,Sunrisers Hyderabad,3,AK Markram,107,12.4
2,Sunrisers Hyderabad,4,RA Tripathi,111,13.5
2,Sunrisers Hyderabad,5,Abdul Samad,145,17.5
2,Sunrisers Hyderabad,6,Shahbaz Ahmed,203,20.3
2,Sunrisers Hyderabad,7,H Klaasen,204,20.5
