innings,team,wicket_number,player_out,score,over
1,Punjab Kings,1,Priyansh Arya,8,2.5
1,Punjab Kings,2,JP Inglis,55,6.2
1,Punjab Kings,3,P Simran Singh,77,8.5
1,Punjab Kings,4,N Wadhera,118,13.3
1,Punjab Kings,5,Shashank Singh,144,16.4
1,Punjab Kings,6,SS Iyer,172,18.2
1,Punjab Kings,7,Azmatullah Omarzai,174,18.6
1,Punjab Kings,8,M Jansen,197,20.3
2,Delhi Capitals,1,KL Rahul,55,6.3
2,Delhi Capitals,2,F du Plessis,65,7.4
2,Delhi Capitals,3,Sediqullah Atal,93,11.1
2,Delhi Capitals,4,KK Nair,155,15.6
