innings,team,wicket_number,player_out,score,over
1,Kolkata Knight Riders,1,BB McCullum,1,2.1
1,Kolkata Knight Riders,2,CH Gayle,12,4.4
1,Kolkata Knight Riders,3,SC Ganguly,16,6.2
1,Kolkata Knight Riders,4,A Chopra,34,11.4
1,Kolkata Knight Riders,5,LR Shukla,48,13.2
1,Kolkata Knight Riders,6,BJ Hodge,72,16.3
1,Kolkata Knight Riders,7,MC Henriques,73,16.5
1,Kolkata Knight Riders,8,AB Agarkar,81,17.3
1,Kolkata Knight Riders,9,I Sharma,99,20.2
1,Kolkata Knight Riders,10,AB Dinda,101,20.4
2,Deccan Chargers,1,AC Gilchrist,24,3.5
2,Deccan Chargers,2,VVS Laxman,35,5.5
