innings,over,ball,team,batter,bowler,umpire,type,decision,umpires_call
1,8,3,Punjab Kings,D Padikkal,Ravi Bishnoi,KN Ananthapadmanabhan,,struck down,False
2,3,5,Punjab Kings,KL Rahul,Mohammed Siraj,RK Illingworth,,upheld,False
2,19,4,Royal Challengers Bangalore,M Shahrukh Khan,Mohammed Siraj,RK Illingworth,,struck down,False
