innings,team,wicket_number,player_out,score,over
1,Royal Challengers Bangalore,1,V Kohli,68,10.4
1,Royal Challengers Bangalore,2,DT Christian,68,10.5
1,Royal Challengers Bangalore,3,D Padikkal,73,12.4
1,Royal Challengers Bangalore,4,AB de Villiers,146,19.2
1,Royal Challengers Bangalore,5,GJ Maxwell,157,20.2
1,Royal Challengers Bangalore,6,Shahbaz Ahmed,163,20.4
1,Royal Challengers Bangalore,7,GHS Garton,163,20.5
2,Punjab Kings,1,KL Rahul,91,11.5
2,Punjab Kings,2,N Pooran,99,13.5
2,Punjab Kings,3,MA Agarwal,114,16.2
2,Punjab Kings,4,SN Khan,121,16.5
2,Punjab Kings,5,AK Markram,127,17.5
2,Punjab Kings,6,M Shahrukh Khan,146,20.1
