innings,team,batter,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
1,Gujarat Titans,WP Saha,11,13,2,0,84.62,c S Dhawan b K Rabada,1
1,Gujarat Titans,Shubman Gill,89,48,6,4,185.42,not out,2
1,Gujarat Titans,KS Williamson,26,22,4,0,118.18,c JM Bairstow b Harpreet Brar,3
1,Gujarat Titans,B Sai Sudharsan,33,19,6,0,173.68,c JM Sharma b HV Patel,4
1,Gujarat Titans,V Shankar,8,10,0,0,80.0,c Harpreet Brar b K Rabada,5
1,Gujarat Titans,R Tewatia,23,8,3,1,287.5,not out,6
2,Punjab Kings,S Dhawan,1,2,0,0,50.0,b UT Yadav,1
2,Punjab Kings,JM Bairstow,22,13,4,0,169.23,b Noor Ahmad,2
2,Punjab Kings,P Simran Singh,35,24,5,1,145.83,c MM Sharma b Noor Ahmad,3
2,Punjab Kings,SM Curran,5,8,0,0,62.5,c KS Williamson b Azmatullah Omarzai,4
2,Punjab Kings,Sikandar Raza,15,16,0,0,93.75,c WP Saha b MM Sharma,5
2,Punjab Kings,Shashank Singh,61,29,6,4,210.34,not out,6
2,Punjab Kings,JM Sharma,16,8,0,2,200.0,c DG Nalkande b Rashid Khan,7
2,Punjab Kings,Ashutosh Sharma,31,17,3,1,182.35,c Rashid Khan b DG Nalkande,8
2,Punjab Kings,Harpreet Brar,1,2,0,0,50.0,not out,9
