match_number,date,opponent,venue,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
4,2014-04-18,Rajasthan Royals,Sheikh Zayed Stadium,2,5,0,0,40.0,c KW Richardson b DS Kulkarni,1
9,2014-04-22,Kings XI Punjab,Sharjah Cricket Stadium,19,15,2,1,126.67,b L Balaji,1
12,2014-04-25,Delhi Daredevils,Dubai International Cricket Stadium,88,53,8,4,166.04,not out,2
17,2014-04-27,Chennai Super Kings,Sharjah Cricket Stadium,44,45,5,0,97.78,b MM Sharma,1
20,2014-04-30,Mumbai Indians,Dubai International Cricket Stadium,16,15,3,0,106.67,c BR Dunk b Z Khan,1
24,2014-05-04,Royal Challengers Bangalore,M Chinnaswamy Stadium,13,8,1,1,162.5,c PA Patel b MA Starc,1
30,2014-05-08,Rajasthan Royals,"Sardar Patel Stadium, Motera",9,10,1,0,90.0,c AM Rahane b R Bhatia,2
32,2014-05-10,Delhi Daredevils,Feroz Shah Kotla,4,7,0,0,57.14,b R Shukla,1
36,2014-05-12,Mumbai Indians,"Rajiv Gandhi International Stadium, Uppal",68,62,7,2,109.68,c KA Pollard b SL Malinga,1
39,2014-05-14,Kings XI Punjab,"Rajiv Gandhi International Stadium, Uppal",20,23,2,0,86.96,b Shivam Sharma,1
43,2014-05-18,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal",8,8,1,0,100.0,c M Morkel b UT Yadav,1
46,2014-05-20,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",11,9,1,0,122.22,not out,4
50,2014-05-22,Chennai Super Kings,JSCA International Stadium Complex,7,3,0,1,233.33,"run out (SK Raina, P Negi)",4
