innings,team,wicket_number,player_out,score,over
1,Deccan Chargers,1,Y Venugopal Rao,21,4.2
1,Deccan Chargers,2,VVS Laxman,22,5.3
1,Deccan Chargers,3,AC Gilchrist,47,9.1
1,Deccan Chargers,4,RG Sharma,47,9.4
1,Deccan Chargers,5,SB Styris,58,12.4
1,Deccan Chargers,6,AS Yadav,71,15.3
1,Deccan Chargers,7,A Symonds,104,18.4
1,Deccan Chargers,8,WPUJC Vaas,105,18.6
1,Deccan Chargers,9,SB Bangar,110,19.3
1,Deccan Chargers,10,PP Ojha,110,19.4
2,Kolkata Knight Riders,1,BB McCullum,6,2.2
2,Kolkata Knight Riders,2,RT Ponting,16,3.1
2,Kolkata Knight Riders,3,WP Saha,21,5.2
2,Kolkata Knight Riders,4,SC Ganguly,68,13.6
2,Kolkata Knight Riders,5,Mohammad Hafeez,88,17.3
