innings,team,wicket_number,player_out,score,over
1,Lucknow Super Giants,1,KR Mayers,53,8.4
1,Lucknow Super Giants,2,DJ Hooda,62,9.4
1,Lucknow Super Giants,3,KH Pandya,110,15.2
1,Lucknow Super Giants,4,N Pooran,111,15.3
1,Lucknow Super Giants,5,MP Stoinis,142,18.5
1,Lucknow Super Giants,6,KL Rahul,150,19.4
1,Lucknow Super Giants,7,K Gowtham,154,20.3
1,Lucknow Super Giants,8,Yudhvir Singh,154,20.4
2,Punjab Kings,1,Atharva Taide,0,1.3
2,Punjab Kings,2,P Simran Singh,17,3.2
2,Punjab Kings,3,MW Short,45,6.6
2,Punjab Kings,4,Harpreet Singh,75,11.6
2,Punjab Kings,5,SM Curran,112,15.3
2,Punjab Kings,6,JM Sharma,122,16.5
2,Punjab Kings,7,Sikandar Raza,139,18.5
2,Punjab Kings,8,Harpreet Brar,153,19.5
