match_number,date,opponent,venue,result,margin
1,2021-04-09,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chepauk, Chennai",lost,by 2 wickets
5,2021-04-13,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk, Chennai",won,by 10 runs
9,2021-04-17,Sunrisers Hyderabad,"MA Chidambaram Stadium, Chepauk, Chennai",won,by 13 runs
13,2021-04-20,Delhi Capitals,"MA Chidambaram Stadium, Chepauk, Chennai",lost,by 6 wickets
17,2021-04-23,Punjab Kings,"MA Chidambaram Stadium, Chepauk, Chennai",lost,by 9 wickets
24,2021-04-29,Rajasthan Royals,"Arun Jaitley Stadium, Delhi",won,by 7 wickets
27,2021-05-01,Chennai Super Kings,"Arun Jaitley Stadium, Delhi",won,by 4 wickets
30,2021-09-19,Chennai Super Kings,Dubai International Cricket Stadium,lost,by 20 runs
34,2021-09-23,Kolkata Knight Riders,"Zayed Cricket Stadium, Abu Dhabi",lost,by 7 wickets
39,2021-09-26,Royal Challengers Bangalore,Dubai International Cricket Stadium,lost,by 54 runs
42,2021-09-28,Punjab Kings,"Zayed Cricket Stadium, Abu Dhabi",won,by 6 wickets
46,2021-10-02,Delhi Capitals,Sharjah Cricket Stadium,lost,by 4 wickets
51,2021-10-05,Rajasthan Royals,Sharjah Cricket Stadium,won,by 8 wickets
55,2021-10-08,Sunrisers Hyderabad,"Zayed Cricket Stadium, Abu Dhabi",won,by 42 runs
