innings,team,wicket_number,batter_1,batter_1_runs,batter_1_balls,batter_2,batter_2_runs,batter_2_balls,total_runs,total_balls
1,Gujarat Titans,1,B Sai Sudharsan,48,23,Shubman Gill,38,18,87,41
1,Gujarat Titans,2,JC Buttler,24,17,Shubman Gill,38,20,62,37
1,Gujarat Titans,3,JC Buttler,40,20,Washington Sundar,15,14,57,34
1,Gujarat Titans,4,M Shahrukh Khan,6,2,Washington Sundar,6,2,12,4
1,Gujarat Titans,5,R Tewatia,6,3,M Shahrukh Khan,0,0,6,3
1,Gujarat Titans,6,Rashid Khan,0,1,M Shahrukh Khan,0,0,0,1
1,Gujarat Titans,7,Rashid Khan,0,1,M Shahrukh Khan,0,0,0,1
2,Sunrisers Hyderabad,1,TM Head,20,16,Abhishek Sharma,23,11,49,27
2,Sunrisers Hyderabad,2,Ishan Kishan,13,17,Abhishek Sharma,18,13,33,30
2,Sunrisers Hyderabad,3,H Klaasen,22,16,Abhishek Sharma,33,17,57,33
2,Sunrisers Hyderabad,4,H Klaasen,1,2,Aniket Verma,0,1,2,3
2,Sunrisers Hyderabad,5,Nithish Kumar Reddy,1,1,Aniket Verma,3,6,4,7
2,Sunrisers Hyderabad,6,PHKD Mendis,0,1,Nithish Kumar Reddy,0,0,0,1
2,Sunrisers Hyderabad,7,PJ Cummins,19,10,Nithish Kumar Reddy,20,9,41,19
