innings,team,wicket_number,player_out,score,over
1,Mumbai Indians,1,PA Patel,7,3.1
1,Mumbai Indians,2,LMP Simmons,8,3.4
1,Mumbai Indians,3,AT Rayudu,41,8.2
1,Mumbai Indians,4,RG Sharma,56,11.1
1,Mumbai Indians,5,KA Pollard,65,11.6
1,Mumbai Indians,6,HH Pandya,78,14.2
1,Mumbai Indians,7,KV Sharma,79,15.1
1,Mumbai Indians,8,KH Pandya,129,20.6
2,Rising Pune Supergiant,1,RA Tripathi,17,3.2
2,Rising Pune Supergiant,2,AM Rahane,71,12.5
2,Rising Pune Supergiant,3,MS Dhoni,98,17.2
2,Rising Pune Supergiant,4,MK Tiwary,123,20.2
2,Rising Pune Supergiant,5,SPD Smith,123,20.3
2,Rising Pune Supergiant,6,Washington Sundar,128,20.6
