innings,over,ball,team,batter,bowler,umpire,type,decision,umpires_call
1,10,6,Delhi Daredevils,N Rana,S Nadeem,AK Chaudhary,,struck down,False
1,13,1,Kolkata Knight Riders,KD Karthik,Mohammed Shami,A Nand Kishore,,upheld,False
2,12,5,Delhi Daredevils,V Shankar,SP Narine,AK Chaudhary,,struck down,False
