match_number,date,opponent,venue,result,margin
3,2011-04-09,Royal Challengers Bangalore,Nehru Stadium,lost,by 6 wickets
10,2011-04-13,Pune Warriors,Dr DY Patil Sports Academy,lost,by 4 wickets
13,2011-04-15,Mumbai Indians,Wankhede Stadium,won,by 8 wickets
18,2011-04-18,Chennai Super Kings,Nehru Stadium,won,by 7 wickets
22,2011-04-20,Kolkata Knight Riders,Eden Gardens,won,by 6 runs
28,2011-04-24,Rajasthan Royals,Sawai Mansingh Stadium,lost,by 8 wickets
32,2011-04-27,Deccan Chargers,Nehru Stadium,lost,by 55 runs
36,2011-04-30,Delhi Daredevils,Nehru Stadium,lost,by 38 runs
41,2011-05-02,Delhi Daredevils,Feroz Shah Kotla,won,by 7 wickets
45,2011-05-05,Kolkata Knight Riders,Nehru Stadium,won,by 17 runs
50,2011-05-08,Royal Challengers Bangalore,M Chinnaswamy Stadium,lost,by 9 wickets
57,2011-05-13,Kings XI Punjab,Holkar Cricket Stadium,lost,by 6 wickets
61,2011-05-15,Rajasthan Royals,Holkar Cricket Stadium,won,by 8 wickets
64,2011-05-18,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",lost,by 11 runs
